"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2018","REDDY GI ASSOCIATES","0","0","0","1","99","","AZ","MESA","85209"
"2018","ADMIRAL INSTRUMENTS LLC","1","0","0","0","33","","AZ","TEMPE","85281"
"2018","THE BELPORT COMPANY INC","0","1","0","0","33","","CA","CAMARILLO","93012"
"2018","CALLAWAY GOLF SALES COMPANY","1","0","0","0","33","","CA","CARLSBAD","92008"
"2018","PAYSAFE PARTNERS LP","0","0","1","0","52","","CA","IRVINE","92612"
"2018","STATE OF CA SECY OF STATE S OFFICE","0","0","0","1","54","","CA","SACRAMENTO","95814"
"2018","EMERALD HEALTH PHARMACEUTICALS INC","0","0","0","1","54","","CA","SAN DIEGO","92121"
"2018","GONSALVES & SANTUCCI INC DBA THE C","1","0","0","0","23","","CA","SAN FRANCISCO","94111"
"2018","A T KEARNEY","1","0","0","0","99","","CA","SAN FRANCISCO","94111"
"2018","AMERI INFO INC","1","0","0","0","54","","CA","SAN JOSE","95129"
"2018","SAN JOSE STATE UNIVERSISTY","1","0","0","0","61","","CA","SAN JOSE","95192"
"2018","LIN ZHI INTERNATIONAL INC","1","0","0","0","32","","CA","SANTA CLARA","95051"
"2018","FUNKTRONIC LABS","1","0","0","0","51","","CA","SOUTH EL MONTE","91733"
"2018","ELM EAST LLC","0","0","1","0","54","","CA","SUNNYVALE","94086"
"2018","BOEHRINGER INGELHEIM PHARMA","0","0","1","0","56","","CT","RIDGEFIELD","06877"
"2018","GLOBAL TAX NETWORK ATLANTIC LLC","1","0","0","0","54","","CT","STAMFORD","06902"
"2018","DISTRICT OF COLUMBIA PUBLC SCHOOLS","1","0","0","0","61","","DC","WASHINGTON","20002"
"2018","PULMONICS PLUS PLLC","1","0","0","0","62","","DC","WASHINGTON","20036"
"2018","AIRPORT SHERPA LLC","0","1","0","0","99","","DE","WILMINGTON","19801"
"2018","CANCER TREATMENT CTRS OF AMERICA G","0","1","0","0","62","","FL","BOCA RATON","33487"
"2019","REDDY GI ASSOCIATES","0","0","0","1","100","","AZ","MESA","85209"
"2019","ADMIRAL INSTRUMENTS LLC","1","0","0","0","34","","AZ","TEMPE","85281"
"2019","THE BELPORT COMPANY INC","0","1","0","0","35","","CA","CAMARILLO","93012"
"2019","CALLAWAY GOLF SALES COMPANY","1","0","0","0","32","","CA","CARLSBAD","92008"
"2019","PAYSAFE PARTNERS LP","0","0","1","0","54","","CA","IRVINE","92612"
"2019","STATE OF CA SECY OF STATE S OFFICE","0","0","0","1","56","","CA","SACRAMENTO","95814"
"2019","EMERALD HEALTH PHARMACEUTICALS INC","0","0","0","1","57","","CA","SAN DIEGO","92121"
"2019","GONSALVES & SANTUCCI INC DBA THE C","1","0","0","0","22","","CA","SAN FRANCISCO","94111"
"2019","A T KEARNEY","1","0","0","0","97","","CA","SAN FRANCISCO","94111"
"2019","AMERI INFO INC","1","0","0","0","51","","CA","SAN JOSE","95129"
"2019","SAN JOSE STATE UNIVERSISTY","1","0","0","0","64","","CA","SAN JOSE","95192"
"2019","LIN ZHI INTERNATIONAL INC","1","0","0","0","35","","CA","SANTA CLARA","95051"
"2019","FUNKTRONIC LABS","1","0","0","0","54","","CA","SOUTH EL MONTE","91733"
"2019","ELM EAST LLC","0","0","1","0","57","","CA","SUNNYVALE","94086"
"2019","BOEHRINGER INGELHEIM PHARMA","0","0","1","0","59","","CT","RIDGEFIELD","06877"
"2019","GLOBAL TAX NETWORK ATLANTIC LLC","1","0","0","0","56","","CT","STAMFORD","06902"
"2019","DISTRICT OF COLUMBIA PUBLC SCHOOLS","1","0","0","0","62","","DC","WASHINGTON","20002"
"2019","PULMONICS PLUS PLLC","1","0","0","0","65","","DC","WASHINGTON","20036"
"2019","AIRPORT SHERPA LLC","0","1","0","0","94","","DE","WILMINGTON","19801"
"2019","CANCER TREATMENT CTRS OF AMERICA G","0","1","0","0","61","","FL","BOCA RATON","33487"
"2020","REDDY GI ASSOCIATES","5","0","2","1","93","","AZ","MESA","85209"
"2020","ADMIRAL INSTRUMENTS LLC","1","0","0","0","31","","AZ","TEMPE","85281"
"2020","THE BELPORT COMPANY INC","0","1","4","0","35","","CA","CAMARILLO","93012"
"2020","CALLAWAY GOLF SALES COMPANY","0","0","7","0","38","","CA","CARLSBAD","92008"
"2020","PAYSAFE PARTNERS LP","10","0","1","0","54","","CA","IRVINE","92612"
"2020","STATE OF CA SECY OF STATE S OFFICE","20","0","19","1","58","","CA","SACRAMENTO","95814"
"2020","EMERALD HEALTH PHARMACEUTICALS INC","20","0","1","1","54","","CA","SAN DIEGO","92121"
"2020","GONSALVES & SANTUCCI INC DBA THE C","1","0","5","0","22","","CA","SAN FRANCISCO","94111"
"2020","A T KEARNEY","1","0","17","0","89","","CA","SAN FRANCISCO","94111"
"2020","AMERI INFO INC","1","0","2","0","64","","CA","SAN JOSE","95129"
"2020","SAN JOSE STATE UNIVERSISTY","1","0","13","0","41","","CA","SAN JOSE","95192"
"2020","LIN ZHI INTERNATIONAL INC","1","0","4","0","22","","CA","SANTA CLARA","95051"
"2020","FUNKTRONIC LABS","1","0","23","0","41","","CA","SOUTH EL MONTE","91733"
"2020","ELM EAST LLC","0","0","1","0","64","","CA","SUNNYVALE","94086"
"2020","BOEHRINGER INGELHEIM PHARMA","0","0","1","0","66","","CT","RIDGEFIELD","06877"
"2022","GLOBAL TAX NETWORK ATLANTIC LLC","15","0","4","0","44","","CT","STAMFORD","06902"
"2022","DISTRICT OF COLUMBIA PUBLC SCHOOLS","1","0","2","0","51","","DC","WASHINGTON","20002"
"2022","PULMONICS PLUS PLLC","1","0","0","0","52","","DC","WASHINGTON","20036"
"2022","AIRPORT SHERPA LLC","1","1","4","0","89","","DE","WILMINGTON","19801"
"2022","CANCER TREATMENT CTRS OF AMERICA G","4","1","5","0","82","","FL","BOCA RATON","33487"
